ENTREZID	SYMBOL
140461	ASB8
64320	RNF25
79754	ASB13
64837	KLC2
79176	FBXL15
80196	RNF34
10324	KLHL41
11275	KLHL2
57823	SLAMF7
55615	PRR5
27071	DAPP1
26232	FBXO2
56992	KIF15
54210	TREM1
55176	SEC61A2
6614	SIGLEC1
80176	SPSB1
54209	TREM2
79865	TREML2
29992	PILRA
51191	HERC5
55182	RNF220
140460	ASB7
8778	SIGLEC5
80380	PDCD1LG2
51807	TUBA8
55336	FBXL8
8139	GAN
54850	FBXL12
29121	CLEC2D
51725	FBXO40
115290	FBXO17
79861	TUBAL3
29116	MYLIP
79908	BTNL8
50489	CD207
25897	RNF19A
26272	FBXO4
64223	MLST8
51348	KLRF1
55175	KLHL11
51088	KLHL5
55243	KIRREL1
81035	COLEC12
63891	RNF123
64718	UNKL
81930	KIF18A
80329	ULBP1
1493	CTLA4
56244	BTNL2
6468	FBXW4
140459	ASB6
84861	KLHL22
150726	FBXO41
29127	RACGAP1
55860	ACTR10
79791	FBXO31
51132	RLIM
54926	UBE2R2
8907	AP1M1
84231	TRAF7
54461	FBXW5
84937	ZNRF1
84078	KBTBD7
84261	FBXW9
93611	FBXO44
84727	SPSB2
84708	LNX1
10870	HCST
29126	CD274
84643	KIF2B
118424	UBE2J2
4773	NFATC2
92912	UBE2Q2
26224	FBXL3
114907	FBXO32
90135	BTBD6
151636	DTX3L
57630	SH3RF1
55824	PAG1
7325	UBE2E2
57542	KLHL42
140739	UBE2F
57674	RNF213
223082	ZNRF2
90933	TRIM41
84876	ORAI1
84085	FBXO30
81559	TRIM11
84961	FBXL20
154214	RNF217
197131	UBR1
83547	RILP
57531	HACE1
146330	FBXL16
90678	LRSAM1
90293	KLHL13
51676	ASB2
120425	JAML
255488	RNF144B
54620	FBXL19
92369	SPSB4
221687	RNF182
131405	TRIM71
201456	FBXO15
127247	ASB17
79465	ULBP3
26270	FBXO6
26259	FBXW8
26153	KIF26A
57520	HECW2
375	ARF1
6725	SRMS
122769	LRR1
126433	FBXO27
140458	ASB5
142689	ASB12
151888	BTLA
93661	CAPZA3
84676	TRIM63
200845	KCTD6
84541	KBTBD8
283807	FBXL22
134	ADORA1
136	ADORA2B
140	ADORA3
253559	CADM2
64403	CDH24
1499	CTNNB1
1005	CDH7
23705	CADM1
1495	CTNNA1
1002	CDH4
60	ACTB
3728	JUP
1001	CDH3
1000	CDH2
1003	CDH5
1012	CDH13
283	ANG
1004	CDH6
1016	CDH18
1013	CDH15
1010	CDH12
1009	CDH11
1007	CDH9
5818	NECTIN1
4301	AFDN
1015	CDH17
1006	CDH8
57863	CADM3
25945	NECTIN3
1008	CDH10
81607	NECTIN4
5028	P2RY1
64805	P2RY12
152	ADRA2C
151	ADRA2B
150	ADRA2A
783	CACNB2
776	CACNA1D
9254	CACNA2D2
775	CACNA1C
784	CACNB3
154	ADRB2
155	ADRB3
147	ADRA1B
153	ADRB1
146	ADRA1D
148	ADRA1A
3958	LGALS3
5589	PRKCSH
1650	DDOST
91703	ACY3
4257	MGST1
4259	MGST3
8574	AKR7A2
4258	MGST2
2687	GGT5
1577	CYP3A5
1800	DPEP1
1576	CYP3A4
1544	CYP1A2
1553	CYP2A13
64174	DPEP2
64180	DPEP3
